,Date,total_cases,special_cause_reason,moving_range,I_UCL,I_LCL,I_LCL_SIGMA_1,I_UCL_SIGMA_1,I_LCL_SIGMA_2,I_UCL_SIGMA_2,MR_UCL,MR_LCL,X_BAR,MR_BAR,I_control_flag,MR_control_flag
46,2020-05-05,45,,10.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
47,2020-05-06,56,,11.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
48,2020-05-07,44,,12.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
49,2020-05-08,64,,20.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
50,2020-05-09,34,,30.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
51,2020-05-10,34,,0.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
52,2020-05-11,34,,0.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
53,2020-05-12,41,,7.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
54,2020-05-13,65,,24.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
55,2020-05-14,56,,9.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
56,2020-05-15,64,,8.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
57,2020-05-16,55,,9.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
58,2020-05-17,37,,18.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
59,2020-05-18,60,,23.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
60,2020-05-19,53,,7.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
61,2020-05-20,73,,20.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
62,2020-05-21,81,,8.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
63,2020-05-22,79,,2.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
64,2020-05-23,66,,13.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
65,2020-05-24,72,,6.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
66,2020-05-25,63,,9.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
67,2020-05-26,58,,5.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
68,2020-05-27,50,,8.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
69,2020-05-28,106,,56.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,out of control
70,2020-05-29,108,,2.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
71,2020-05-30,105,,3.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
